Poids,Volume,Conductivite,Opacite,Rigidite,Prix_Revente,Categorie,Rapport_Collecte,Cluster_KMeans,Cluster_Agg,Cluster_DBSCAN,PCA_1,PCA_2
16.708779878885796,70.94097654208932,0.0,1.0,1.0,0.8354389939442899,Papier,"Lot de papier récupéré dans un site non renseigné. Poids léger de 16.7 kg, volume moyen. Matériau souple, non conducteur, aspect très opaque. Bon état général.",3,3,0,-1.8282073761672146,-0.22853817165574197
47.27747627434259,64.70292526037132,0.0,2.204796051036861,3.0,4.727747627434259,Plastique,"Lot plastique à l'Usine A. Volume 64.7 L, poids 47.3 kg. Aspect indéterminée, rigidité moyenne. Aucune trace de métal.",3,0,1,-2.460814049135858,2.494649239588391
140.39300378938074,317.41518289584855,0.0,0.0262339979152076,9.0,4.211790113681422,Verre,"Bris de verre ou contenants en provenance de l'Usine B. Masse non mesuré kg. Matériau dense, rigidité élevée, transparence partielle. Légère contamination observée.",1,1,2,2.25553807054199,-0.45698153180016554
9.99580297053036,21.474390728113523,0.0,1.0,1.0,0.4420673081225436,Papier,"Feuilles et cartons collectés au Centre de Tri. Masse totale non mesuré kg. Matériau léger, souple et opaque. Lot conforme aux standards de tri.",3,3,0,-2.0815640888521783,-0.2550155958597029
13.417848009843448,59.46217555431896,0.0,1.0,2.0,0.7230037589117354,Papier,"Déchet de type papier identifié à l'Usine B. Volume estimé 59.5 L, poids non mesuré kg. Texture de rigidité non mesurée, très opaque.",3,3,0,-1.7472647896824147,-0.055476531461045475
32.95477524423183,43.962633117130494,0.0,0.3523563426524086,4.0,3.2954775244231835,Plastique,"Déchet plastique collecté à l'Usine B. Poids 33.0 kg, volume 44.0 L. Rigidité semi-rigide, non conducteur. Surface légèrement translucide.",0,2,3,-0.7451594006733863,-0.9385733546241954
187.7600073603065,400.170298955338,0.0,0.0127023659180002,8.0,5.6328002208091945,Verre,"Déchets en verre identifiés lors d'une collecte citoyenne. Poids 187.8 kg, volume 400.2 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",1,1,2,2.810485713988922,-0.586929948728549
132.167170236169,252.3468400132625,0.0,0.0112750993301854,9.0,3.96501510708507,Verre,"Déchets en verre identifiés via la collecte citoyenne. Poids 132.2 kg, volume 252.3 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",1,1,2,1.9409811629871914,-0.5202717167481368
16.712284590037573,71.65516131026371,0.0,1.0,1.0,0.8356142295018787,Papier,"Feuilles et cartons collectés provenant de l'Usine A. Masse totale 16.7 kg. Matériau léger, souple et opaque. Matériau mélangé à d'autres déchets.",3,3,0,-1.8252500454284544,-0.2282406262296307
60.07865549577275,121.09692286684034,0.0,1.0,7.0,14.725800471363227,Métal,"Métal de récupération au centre de tri municipal. Masse 60.1 kg. Forte conductivité (0.954), rigidité élevée. Bonne valeur marchande.",2,0,4,-0.3807218256219054,0.9161379944274859
